link	description	tags
place:type=6&sort=14&maxResults=10	Recent Tags	
https://support.mozilla.org/en-US/products/firefox	Help and Tutorials	
https://support.mozilla.org/en-US/kb/customize-firefox-controls-buttons-and-toolbars?utm_source=firefox-browser&utm_medium=default-bookmarks&utm_campaign=customize	Customize Firefox	
https://www.mozilla.org/en-US/contribute/	Get Involved	
https://www.mozilla.org/en-US/about/	About Us	
http://www.ubuntu.com/	Ubuntu	
http://wiki.ubuntu.com/	Ubuntu Wiki (community-edited website)	
https://answers.launchpad.net/ubuntu/+addquestion	Make a Support Request to the Ubuntu Community	
http://www.debian.org/	Debian (Ubuntu is based on Debian)	
place:sort=8&maxResults=10	Most Visited	
https://www.mozilla.org/en-US/firefox/central/	Getting Started	
