link	description	tags
https://www.youtube.com/	YouTube	
https://bitbucket.org/dashboard/overview	Bitbucket	
https://drive.google.com/drive/my-drive	Google Drive	
https://www.icloud.com/	iCloud	
https://www.netflix.com/browse	Netflix	
https://vrv.co/	VRV	
https://app.pluralsight.com/library/	Pluralsight	
https://gitlab.com/	GitLab	
https://github.com/	GitHub	
https://www.booleanworld.com/access-mac-ssh-remote-login/	How to Access Your Mac over SSH with Remote Login - Boolean World	
https://portforward.com/netgear/r6300/	Netgear R6300 Router Open Port Guide	
http://www.apple.com/	Apple	
http://www.disney.com/	Disney	
http://espn.go.com/	ESPN	
http://www.yahoo.com/	Yahoo	
https://www.amazon.com/Back-Future-License-Brushed-Sticker/dp/B073KSRYB3?ref=hnd_dp_car_mba_27	Back to the Future 2: License Plate | Brushed Alloy Sticker	
https://www.amazon.com/dp/B074GC2RXL/_encoding=UTF8/ref=as_li_ss_tl?coliid=I3VYSFQ8TD0REB&colid=2VOVNVHBO54SF&linkCode=sl1&tag=radchisretgam-20&linkId=9c8740f1e75500b80db4f69d240f0554	Game Boy Neon | Holographic Sticker	
https://www.youtube.com/	YouTube	
https://m.youtube.com/watch?feature=youtu.be&v=r1bRRkByTXg	"Man Selecting Cobras For Snake Show. Selection of snakes for the ""snake show"".Cobra SLAP - YouTube"	
https://www.ultimate-guitar.com/lessons/guitar_techniques/groovy_arpeggio_exercises.html	Groovy Arpeggio Exercises | Guitar Lessons @ Ultimate-Guitar.Com	
http://elderscrolls.wikia.com/wiki/Hjerim	Hjerim - The Elder Scrolls Wiki	
http://en.m.wikipedia.org/wiki/Mega_Man_Battle_Network#section_4	Mega Man Battle Network - Wikipedia, the free encyclopedia	
https://app.pluralsight.com/library/courses/kotlin-fundamentals/table-of-contents	Kotlin Fundamentals	
https://app.pluralsight.com/library/courses/kotlin-getting-started/table-of-contents	Getting Started with Kotlin	
http://wikirhymer.com/	WikiRhymer	
http://thisiswhyimbroke.com/	ThisIsWhyImBroke.com	
http://watchout4snakes.com/creativitytools/randomword/randomwordplus.aspx	Random Word Generator (Plus)	
